product_id,product_name,category,sku,unit_price,quantity,total,date,channel,current_stock,safety_stock,reorder_point,lead_time_days,warehouse_location
1028,Bookshelf,Furniture,BS-028,179.99,13,2339.87,2025-09-01,wholesale,26,8,20,21,Warehouse-A-37
1016,Cycling Helmet,Sports,CH-016,69.99,4,279.96,2025-09-01,retail,8,15,45,10,Warehouse-C-11
1018,Fitness Tracker,Sports,FT-018,149.99,12,1799.88,2025-09-02,wholesale,24,12,35,14,Warehouse-C-36
1014,Tennis Racket,Sports,TR-014,149.99,18,2699.82,2025-09-03,retail,36,10,30,10,Warehouse-B-06
1044,Dress Shirt,Apparel,DS-044,59.99,9,539.91,2025-09-03,retail,18,15,50,10,Warehouse-B-28
1048,Winter Gloves,Apparel,WG-048,19.99,23,459.77,2025-09-03,wholesale,46,45,130,5,Warehouse-A-18
1033,Toaster,Appliances,TO-033,49.99,14,699.86,2025-09-04,retail,28,15,50,10,Warehouse-C-26
1008,USB Hub,Electronics,UH-008,34.99,15,524.85,2025-09-05,online,30,25,70,5,Warehouse-C-34
1021,Office Chair,Furniture,OC-021,249.99,17,4249.83,2025-09-05,wholesale,34,8,15,21,Warehouse-A-40
1025,Whiteboard,Furniture,WB-025,79.99,23,1839.77,2025-09-06,wholesale,46,12,40,10,Warehouse-C-29
1036,Electric Kettle,Appliances,EK-036,39.99,5,199.95,2025-09-06,retail,10,18,60,7,Warehouse-B-11
1006,Webcam HD,Electronics,WH-006,79.99,2,159.98,2025-09-08,online,90,15,35,7,Warehouse-C-06
1019,Water Bottle,Sports,WB-019,14.99,12,179.88,2025-09-08,retail,24,60,150,5,Warehouse-A-09
1032,Microwave Oven,Appliances,MO-032,129.99,23,2989.77,2025-09-08,wholesale,46,10,35,14,Warehouse-C-08
1015,Resistance Bands,Sports,RB-015,19.99,7,139.93,2025-09-09,online,372,50,120,5,Warehouse-C-30
1035,Air Fryer,Appliances,AF-035,149.99,1,149.99,2025-09-09,online,2,10,30,14,Warehouse-B-33
1032,Microwave Oven,Appliances,MO-032,129.99,11,1429.89,2025-09-10,wholesale,22,10,35,14,Warehouse-B-13
1010,Noise Cancelling Headphones,Electronics,NCH-010,199.99,25,4999.75,2025-09-10,wholesale,50,10,25,14,Warehouse-C-33
1042,Running Shorts,Apparel,RS-042,34.99,30,1049.7,2025-09-12,wholesale,60,20,60,7,Warehouse-A-23
1044,Dress Shirt,Apparel,DS-044,59.99,11,659.89,2025-09-13,online,22,15,50,10,Warehouse-A-29
1038,Food Processor,Appliances,FP-038,199.99,16,3199.84,2025-09-13,retail,32,8,22,21,Warehouse-A-05
1010,Noise Cancelling Headphones,Electronics,NCH-010,199.99,7,1399.93,2025-09-14,retail,32,10,25,14,Warehouse-A-36
1048,Winter Gloves,Apparel,WG-048,19.99,4,79.96,2025-09-15,online,8,45,130,5,Warehouse-B-12
1011,Running Shoes,Sports,RS-011,129.99,11,1429.89,2025-09-15,retail,22,20,60,10,Warehouse-C-26
1035,Air Fryer,Appliances,AF-035,149.99,12,1799.88,2025-09-16,online,24,10,30,14,Warehouse-B-27
1007,Monitor 27inch,Electronics,MN-007,299.99,12,3599.88,2025-09-17,online,24,8,20,21,Warehouse-A-14
1037,Rice Cooker,Appliances,RC-037,69.99,18,1259.82,2025-09-17,wholesale,36,15,45,10,Warehouse-C-31
1006,Webcam HD,Electronics,WH-006,79.99,5,399.95,2025-09-17,online,10,15,35,7,Warehouse-A-39
1031,Coffee Maker,Appliances,CM-031,89.99,12,1079.88,2025-09-19,online,30,12,40,14,Warehouse-A-30
1050,Socks Pack,Apparel,SP-050,14.99,11,164.89,2025-09-19,wholesale,22,70,180,5,Warehouse-C-03
1032,Microwave Oven,Appliances,MO-032,129.99,14,1819.86,2025-09-19,online,28,10,35,14,Warehouse-B-26
1041,Winter Jacket,Apparel,WJ-041,199.99,12,2399.88,2025-09-20,online,24,8,20,21,Warehouse-C-35
1019,Water Bottle,Sports,WB-019,14.99,5,74.95,2025-09-20,wholesale,64,60,150,5,Warehouse-C-08
1047,Baseball Cap,Apparel,BC-047,29.99,13,389.87,2025-09-22,online,188,30,90,5,Warehouse-B-21
1007,Monitor 27inch,Electronics,MN-007,299.99,8,2399.92,2025-09-22,retail,16,8,20,21,Warehouse-C-21
1022,Standing Desk,Furniture,SD-022,449.99,1,449.99,2025-09-22,online,2,5,10,30,Warehouse-C-23
1019,Water Bottle,Sports,WB-019,14.99,3,44.97,2025-09-23,retail,6,60,150,5,Warehouse-B-26
1038,Food Processor,Appliances,FP-038,199.99,20,3999.8,2025-09-23,wholesale,40,8,22,21,Warehouse-B-21
1047,Baseball Cap,Apparel,BC-047,29.99,3,89.97,2025-09-25,retail,6,30,90,5,Warehouse-C-05
1003,Bluetooth Speaker,Electronics,BS-003,59.99,14,839.86,2025-09-26,online,28,15,40,10,Warehouse-B-07
1002,USB-C Cable,Electronics,UC-002,12.99,24,311.76,2025-09-28,wholesale,98,25,60,5,Warehouse-A-05
1011,Running Shoes,Sports,RS-011,129.99,17,2209.83,2025-09-28,retail,34,20,60,10,Warehouse-A-32
1004,Laptop Stand,Electronics,LS-004,45.99,7,321.93,2025-09-28,wholesale,14,20,45,7,Warehouse-A-04
1003,Bluetooth Speaker,Electronics,BS-003,59.99,1,59.99,2025-09-28,online,2,15,40,10,Warehouse-A-34
1015,Resistance Bands,Sports,RB-015,19.99,16,319.84,2025-09-29,wholesale,32,50,120,5,Warehouse-A-23
1042,Running Shorts,Apparel,RS-042,34.99,2,69.98,2025-09-29,online,4,20,60,7,Warehouse-B-11
1009,Wireless Charger,Electronics,WC-009,24.99,5,124.95,2025-09-30,retail,10,30,80,5,Warehouse-A-09
1002,USB-C Cable,Electronics,UC-002,12.99,18,233.82,2025-10-01,retail,198,25,60,5,Warehouse-B-31
1008,USB Hub,Electronics,UH-008,34.99,10,349.9,2025-10-01,online,66,25,70,5,Warehouse-A-12
1009,Wireless Charger,Electronics,WC-009,24.99,18,449.82,2025-10-01,retail,104,30,80,5,Warehouse-B-39
1029,Conference Table,Furniture,CT-029,599.99,29,17399.71,2025-10-01,wholesale,58,5,8,30,Warehouse-B-19
1009,Wireless Charger,Electronics,WC-009,24.99,1,24.99,2025-10-01,online,2,30,80,5,Warehouse-C-24
1013,Dumbbell Set,Sports,DS-013,89.99,2,179.98,2025-10-01,online,4,12,40,14,Warehouse-A-04
1039,Slow Cooker,Appliances,SL-039,59.99,19,1139.81,2025-10-03,wholesale,38,15,50,10,Warehouse-B-26
1047,Baseball Cap,Apparel,BC-047,29.99,14,419.86,2025-10-03,online,28,30,90,5,Warehouse-B-36
1026,Monitor Arm,Furniture,MA-026,89.99,24,2159.76,2025-10-04,wholesale,48,15,45,10,Warehouse-B-13
1006,Webcam HD,Electronics,WH-006,79.99,11,879.89,2025-10-04,wholesale,22,15,35,7,Warehouse-B-30
